#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.0999824220	0.0000000000	0.0000000000	0.0006200000	0.0000820000	-0.0064170000	0.0064474036	0	20032018	101251
0.0999871670	0.0000000000	0.0000000000	-0.0004708793	-0.0001447816	-0.0063800000	0.0063989912	0	20032018	104354
0.0999871670	0.0000000000	0.0000000000	-0.0004642980	0.0001540922	-0.0064020000	0.0064206636	0	20032018	103741
0.0999919200	0.0000000000	0.0000000000	0.0001156617	0.0005695686	-0.0064700000	0.0064960516	0	20032018	102515
0.0999935000	0.0000000000	0.0000000000	0.0004401773	-0.0002688363	-0.0063880000	0.0064087887	0	20032018	110231
0.0999935000	0.0000000000	0.0000000000	0.0000833535	-0.0004554450	-0.0064380000	0.0064546280	0	20032018	105619
0.0999950870	0.0000000000	0.0000000000	-0.0002679378	0.0004780819	-0.0064130000	0.0064363749	0	20032018	103128
0.0999966660	0.0000000000	0.0000000000	-0.0002189571	-0.0004532448	-0.0064360000	0.0064556540	0	20032018	105006
0.0999982530	0.0000000000	0.0000000000	0.0004478895	0.0003732131	-0.0064060000	0.0064324746	0	20032018	101903
0.1000207520	0.0000000000	0.0000000000	0.0005453015	-0.0001186602	-0.0064190000	0.0064432131	0	20032018	100656
0.1000571670	0.0000000000	0.0000000000	0.0005300972	-0.0001078054	-0.0064230000	0.0064457392	0	20032018	110249
0.1000682530	0.0000000000	0.0000000000	-0.0000377598	-0.0004848084	-0.0063790000	0.0063975078	0	20032018	105025
0.1000714190	0.0000000000	0.0000000000	0.0002641366	0.0005714979	-0.0064040000	0.0064348733	0	20032018	101922
0.1000714190	0.0000000000	0.0000000000	0.0005438057	0.0002660365	-0.0063540000	0.0063827749	0	20032018	101309
0.1000714190	0.0000000000	0.0000000000	-0.0004472732	0.0003661689	-0.0064540000	0.0064798340	0	20032018	103146
0.1000745850	0.0000000000	0.0000000000	-0.0000550675	0.0005772067	-0.0063860000	0.0064122692	0	20032018	102534
0.1000761720	0.0000000000	0.0000000000	0.0001936628	-0.0004274339	-0.0063590000	0.0063762909	0	20032018	105637
0.1000809170	0.0000000000	0.0000000000	-0.0006200000	0.0000560000	-0.0064170000	0.0064471253	0	20032018	103759
0.1000856700	0.0000000000	0.0000000000	-0.0004152319	-0.0003001208	-0.0064200000	0.0064404107	0	20032018	104412
0.1000714190	0.0300000000	20.0000000000	0.0001420000	-0.0000820000	-0.0062660000	0.0062681452	1	20032018	101309
0.0999982530	0.0300000000	40.0000000000	0.0001510000	-0.0001250000	-0.0062340000	0.0062370812	1	20032018	101903
0.1000714190	0.0300000000	60.0000000000	0.0001260000	-0.0001820000	-0.0062770000	0.0062809019	1	20032018	101922
0.0999919200	0.0300000000	80.0000000000	0.0001150000	-0.0001240000	-0.0061990000	0.0062013065	1	20032018	102515
0.1000745850	0.0300000000	100.0000000000	0.0001090000	-0.0002300000	-0.0062480000	0.0062531820	1	20032018	102534
0.0999950870	0.0300000000	120.0000000000	0.0000770000	-0.0001960000	-0.0062730000	0.0062765336	1	20032018	103128
0.1000714190	0.0300000000	140.0000000000	-0.0000010000	-0.0001900000	-0.0062100000	0.0062129060	1	20032018	103146
0.0999871670	0.0300000000	160.0000000000	0.0000500000	-0.0002210000	-0.0062660000	0.0062700955	1	20032018	103741
0.1000809170	0.0300000000	180.0000000000	0.0000420000	-0.0002100000	-0.0062370000	0.0062406757	1	20032018	103759
0.0999871670	0.0300000000	200.0000000000	0.0000920000	-0.0002280000	-0.0062000000	0.0062048729	1	20032018	104354
0.1000856700	0.0300000000	220.0000000000	0.0000030000	-0.0001460000	-0.0062450000	0.0062467071	1	20032018	104412
0.0999966660	0.0300000000	240.0000000000	0.0000190000	-0.0001980000	-0.0062810000	0.0062841488	1	20032018	105006
0.1000682530	0.0300000000	260.0000000000	0.0000490000	-0.0001030000	-0.0062360000	0.0062370430	1	20032018	105025
0.0999935000	0.0300000000	280.0000000000	0.0000000000	-0.0001420000	-0.0062840000	0.0062856042	1	20032018	105619
0.1000761720	0.0300000000	300.0000000000	0.0000640000	-0.0001120000	-0.0062460000	0.0062473319	1	20032018	105637
