#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000334170	0.0000000000	0.0000000000	0.0004888336	-0.0001013001	-0.0044390000	0.0044669834	0	20032018	74551
0.1000334170	0.0300000000	340.0000000000	-0.0000260000	-0.0001080000	-0.0042550000	0.0042564498	1	20032018	74551
0.1000334170	0.0600000000	70.0000000000	0.0005360000	-0.0001750000	-0.0042330000	0.0042703876	2	20032018	74551
0.1000334170	0.0900000000	340.0000000000	0.0008280000	0.0000970000	-0.0045700000	0.0046454163	3	20032018	74551
0.1000334170	0.1200000000	250.0000000000	0.0008120000	0.0001020000	-0.0041710000	0.0042505281	4	20032018	74551
0.1000334170	0.1500000000	70.0000000000	0.0011390000	-0.0000510000	-0.0037650000	0.0039338463	5	20032018	74551
0.1500350800	0.0000000000	0.0000000000	0.0005652113	-0.0001078157	-0.0054190000	0.0054494632	0	20032018	74554
0.1500350800	0.0300000000	340.0000000000	0.0000150000	-0.0000700000	-0.0052330000	0.0052334897	1	20032018	74554
0.1500350800	0.0600000000	70.0000000000	0.0007680000	-0.0002120000	-0.0051290000	0.0051905114	2	20032018	74554
0.1500350800	0.0900000000	340.0000000000	0.0010860000	0.0001150000	-0.0054820000	0.0055897178	3	20032018	74554
0.1500350800	0.1200000000	250.0000000000	0.0010590000	0.0001760000	-0.0050280000	0.0051413268	4	20032018	74554
0.1500350800	0.1500000000	70.0000000000	0.0014940000	0.0000030000	-0.0045620000	0.0048004051	5	20032018	74554
0.2000130000	0.0000000000	0.0000000000	0.0005721346	-0.0000975655	-0.0066820000	0.0067071589	0	20032018	74556
0.2000130000	0.0300000000	340.0000000000	0.0001390000	-0.0000060000	-0.0065850000	0.0065864696	1	20032018	74556
0.2000130000	0.0600000000	70.0000000000	0.0010130000	-0.0001310000	-0.0064380000	0.0065185254	2	20032018	74556
0.2000130000	0.0900000000	340.0000000000	0.0013550000	0.0001380000	-0.0067290000	0.0068654577	3	20032018	74556
0.2000130000	0.1200000000	250.0000000000	0.0014930000	0.0000860000	-0.0061670000	0.0063457335	4	20032018	74556
0.2000130000	0.1500000000	70.0000000000	0.0020880000	0.0000080000	-0.0056620000	0.0060347371	5	20032018	74556
0.2500115050	0.0000000000	0.0000000000	0.0005627722	0.0000229017	-0.0085060000	0.0085246274	0	20032018	74558
0.2500115050	0.0300000000	340.0000000000	0.0002680000	0.0000560000	-0.0083250000	0.0083295009	1	20032018	74558
0.2500115050	0.0600000000	70.0000000000	0.0014100000	-0.0002010000	-0.0080940000	0.0082183537	2	20032018	74558
0.2500115050	0.0900000000	340.0000000000	0.0019050000	0.0001420000	-0.0084070000	0.0086213014	3	20032018	74558
0.2500115050	0.1200000000	250.0000000000	0.0020230000	0.0000640000	-0.0077630000	0.0080225179	4	20032018	74558
0.2500115050	0.1500000000	70.0000000000	0.0027040000	0.0000220000	-0.0068560000	0.0073699957	5	20032018	74558
0.3000289920	0.0000000000	0.0000000000	0.0006452267	0.0000535489	-0.0109740000	0.0109930824	0	20032018	74600
0.3000289920	0.0300000000	340.0000000000	0.0004920000	0.0001730000	-0.0107410000	0.0107536540	1	20032018	74600
0.3000289920	0.0600000000	70.0000000000	0.0019400000	-0.0001620000	-0.0104830000	0.0106622293	2	20032018	74600
0.3000289920	0.0900000000	340.0000000000	0.0025870000	0.0002510000	-0.0106060000	0.0109198354	3	20032018	74600
0.3000289920	0.1200000000	250.0000000000	0.0028720000	0.0000730000	-0.0098570000	0.0102671399	4	20032018	74600
0.3000289920	0.1500000000	70.0000000000	0.0037200000	0.0000590000	-0.0087150000	0.0094759224	5	20032018	74600
0.3500069270	0.0000000000	0.0000000000	0.0007576167	0.0001956808	-0.0145120000	0.0145330801	0	20032018	74602
0.3500069270	0.0300000000	340.0000000000	0.0008300000	0.0003010000	-0.0141660000	0.0141934864	1	20032018	74602
0.3500069270	0.0600000000	70.0000000000	0.0027680000	-0.0001640000	-0.0137190000	0.0139964167	2	20032018	74602
0.3500069270	0.0900000000	340.0000000000	0.0036180000	0.0003160000	-0.0137510000	0.0142225097	3	20032018	74602
0.3500069270	0.1200000000	250.0000000000	0.0040440000	0.0001220000	-0.0128010000	0.0134251414	4	20032018	74602
0.3500069270	0.1500000000	70.0000000000	0.0053660000	0.0000190000	-0.0111250000	0.0123515158	5	20032018	74602
0.4000133360	0.0000000000	0.0000000000	0.0008315172	0.0004805873	-0.0194840000	0.0195076560	0	20032018	74604
0.4000133360	0.0300000000	340.0000000000	0.0013360000	0.0004880000	-0.0191170000	0.0191698390	1	20032018	74604
0.4000133360	0.0600000000	70.0000000000	0.0040270000	-0.0001080000	-0.0184930000	0.0189266860	2	20032018	74604
0.4000133360	0.0900000000	340.0000000000	0.0052020000	0.0004920000	-0.0182310000	0.0189650265	3	20032018	74604
0.4000133360	0.1200000000	250.0000000000	0.0058730000	0.0001510000	-0.0169500000	0.0179392706	4	20032018	74604
0.4000133360	0.1500000000	70.0000000000	0.0076750000	0.0000370000	-0.0144180000	0.0163335764	5	20032018	74604
0.4500181880	0.0000000000	0.0000000000	0.0008357837	0.0007525281	-0.0268210000	0.0268445688	0	20032018	74606
0.4500181880	0.0300000000	340.0000000000	0.0020780000	0.0007650000	-0.0263550000	0.0264478607	1	20032018	74606
0.4500181880	0.0600000000	70.0000000000	0.0059240000	-0.0000600000	-0.0252840000	0.0259687896	2	20032018	74606
0.4500181880	0.0900000000	340.0000000000	0.0076510000	0.0007470000	-0.0246650000	0.0258352092	3	20032018	74606
0.4500181880	0.1200000000	250.0000000000	0.0086910000	0.0001220000	-0.0230010000	0.0245885007	4	20032018	74606
0.4500181880	0.1500000000	70.0000000000	0.0110730000	0.0001740000	-0.0190480000	0.0220333363	5	20032018	74606
0.5000103450	0.0000000000	0.0000000000	0.0010713976	0.0012712247	-0.0375310000	0.0375678036	0	20032018	74608
0.5000103450	0.0300000000	340.0000000000	0.0031340000	0.0011780000	-0.0369460000	0.0370973928	1	20032018	74608
0.5000103450	0.0600000000	70.0000000000	0.0089480000	0.0000070000	-0.0353250000	0.0364406693	2	20032018	74608
0.5000103450	0.0900000000	340.0000000000	0.0112750000	0.0011190000	-0.0341480000	0.0359786560	3	20032018	74608
0.5000103450	0.1200000000	250.0000000000	0.0129660000	0.0001070000	-0.0318420000	0.0343808314	4	20032018	74608
0.5000103450	0.1500000000	70.0000000000	0.0166470000	0.0002150000	-0.0257290000	0.0306455588	5	20032018	74608
0.5500484010	0.0000000000	0.0000000000	0.0013483303	0.0019706911	-0.0536330000	0.0536861277	0	20032018	74611
0.5500484010	0.0300000000	340.0000000000	0.0048460000	0.0018710000	-0.0527190000	0.0529743081	1	20032018	74611
0.5500484010	0.0600000000	70.0000000000	0.0132180000	0.0000630000	-0.0502410000	0.0519507226	2	20032018	74611
0.5500484010	0.0900000000	340.0000000000	0.0168300000	0.0016970000	-0.0484970000	0.0513623181	3	20032018	74611
0.5500484010	0.1200000000	250.0000000000	0.0193790000	0.0000990000	-0.0451930000	0.0491727840	4	20032018	74611
0.5500484010	0.1500000000	70.0000000000	0.0251550000	0.0003750000	-0.0359290000	0.0438612322	5	20032018	74611
0.6000104980	0.0000000000	0.0000000000	0.0016460605	0.0030840023	-0.0770470000	0.0771262653	0	20032018	74613
0.6000104980	0.0300000000	340.0000000000	0.0070760000	0.0029190000	-0.0759430000	0.0763277773	1	20032018	74613
0.6000104980	0.0600000000	70.0000000000	0.0194530000	0.0002660000	-0.0725150000	0.0750793926	2	20032018	74613
0.6000104980	0.0900000000	340.0000000000	0.0247050000	0.0025090000	-0.0697670000	0.0740544826	3	20032018	74613
0.6000104980	0.1200000000	250.0000000000	0.0288100000	0.0000390000	-0.0654710000	0.0715295006	4	20032018	74613
0.6000104980	0.1500000000	70.0000000000	0.0382680000	0.0006100000	-0.0516710000	0.0643016653	5	20032018	74613
0.6500153200	0.0000000000	0.0000000000	0.0021257005	0.0045450688	-0.1107120000	0.1108256432	0	20032018	74615
0.6500153200	0.0300000000	340.0000000000	0.0100420000	0.0042940000	-0.1093320000	0.1098761413	1	20032018	74615
0.6500153200	0.0600000000	70.0000000000	0.0277570000	0.0005840000	-0.1049290000	0.1085397952	2	20032018	74615
0.6500153200	0.0900000000	340.0000000000	0.0354490000	0.0037050000	-0.1014670000	0.1075449242	3	20032018	74615
0.6500153200	0.1200000000	250.0000000000	0.0416620000	-0.0000260000	-0.0960020000	0.1046523145	4	20032018	74615
0.6500153200	0.1500000000	70.0000000000	0.0575630000	0.0010080000	-0.0770840000	0.0962104885	5	20032018	74615
0.7000296630	0.0000000000	0.0000000000	0.0026321561	0.0065476193	-0.1570100000	0.1571685072	0	20032018	74617
0.7000296630	0.0300000000	340.0000000000	0.0134750000	0.0061450000	-0.1554950000	0.1561986929	1	20032018	74617
0.7000296630	0.0600000000	70.0000000000	0.0379100000	0.0009640000	-0.1504680000	0.1551731820	2	20032018	74617
0.7000296630	0.0900000000	340.0000000000	0.0482110000	0.0052820000	-0.1468190000	0.1546221808	3	20032018	74617
