#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000029980	0.0000000000	0.0000000000	0.0005950000	-0.0001780000	0.0041900000	0.0042357773	0	22032018	71052
0.1000045850	0.0000000000	0.0000000000	0.0001679232	0.0004973970	0.0042260000	0.0042584831	0	22032018	72409
0.1000061650	0.0000000000	0.0000000000	-0.0001455052	0.0004760223	0.0042730000	0.0043018947	0	22032018	73047
0.1000077510	0.0000000000	0.0000000000	0.0005117017	0.0002831631	0.0042410000	0.0042811331	0	22032018	71731
0.1000077510	0.0000000000	0.0000000000	-0.0004318164	0.0002082489	0.0042550000	0.0042819222	0	22032018	73725
0.1000093380	0.0000000000	0.0000000000	-0.0002521506	-0.0003867377	0.0041970000	0.0042223163	0	22032018	75043
0.1000093380	0.0000000000	0.0000000000	0.0000403002	-0.0005452861	0.0042780000	0.0043128001	0	22032018	75722
0.1000093380	0.0000000000	0.0000000000	-0.0004454938	-0.0001823658	0.0042360000	0.0042632638	0	22032018	74404
0.1000109180	0.0000000000	0.0000000000	0.0003488127	-0.0004415050	0.0042700000	0.0043069127	0	22032018	80401
0.1000334170	0.0000000000	0.0000000000	0.0004835617	-0.0003058318	0.0042340000	0.0042724842	0	22032018	70432
0.1000508350	0.0000000000	0.0000000000	0.0002992058	-0.0005362396	0.0041940000	0.0042387160	0	22032018	75740
0.1000634990	0.0000000000	0.0000000000	0.0000348853	0.0005047257	0.0042580000	0.0042879516	0	22032018	72427
0.1000650860	0.0000000000	0.0000000000	-0.0003141300	0.0003614919	0.0042310000	0.0042580177	0	22032018	73105
0.1000650860	0.0000000000	0.0000000000	-0.0005410000	0.0000110000	0.0042510000	0.0042853008	0	22032018	73744
0.1000698320	0.0000000000	0.0000000000	0.0005910874	0.0001449025	0.0042160000	0.0042596992	0	22032018	71111
0.1000777510	0.0000000000	0.0000000000	0.0004129846	-0.0003301601	0.0042960000	0.0043284152	0	22032018	80419
0.1000777510	0.0000000000	0.0000000000	0.0003713154	0.0003791371	0.0042260000	0.0042591896	0	22032018	71749
0.1000793380	0.0000000000	0.0000000000	-0.0003467451	-0.0002961753	0.0042100000	0.0042346254	0	22032018	74423
0.1000872500	0.0000000000	0.0000000000	-0.0001025738	-0.0005414135	0.0042580000	0.0042935084	0	22032018	75102
0.1000698320	0.0300000000	20.0000000000	-0.0004560000	-0.0002070000	0.0043280000	0.0043568761	1	22032018	71111
