#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.1000045850	0.0000000000	0.0000000000	0.0001491692	0.0003910378	0.0041410000	0.0041620960	0	22032018	35754
0.1000045850	0.0000000000	0.0000000000	0.0000336397	-0.0005363062	0.0041480000	0.0041826618	0	22032018	42837
0.1000045850	0.0000000000	0.0000000000	-0.0004063721	-0.0001553566	0.0041630000	0.0041856712	0	22032018	41620
0.1000077510	0.0000000000	0.0000000000	-0.0004131227	0.0001514286	0.0040970000	0.0041205594	0	22032018	41011
0.1000077510	0.0000000000	0.0000000000	-0.0001672705	0.0004057211	0.0041650000	0.0041880561	0	22032018	40402
0.1000077510	0.0000000000	0.0000000000	0.0005320000	-0.0001440000	0.0041500000	0.0041864376	0	22032018	34538
0.1000077510	0.0000000000	0.0000000000	0.0004746321	0.0002651121	0.0041050000	0.0041408435	0	22032018	35146
0.1000077510	0.0000000000	0.0000000000	0.0003796758	-0.0003642751	0.0041050000	0.0041385837	0	22032018	43446
0.1000093380	0.0000000000	0.0000000000	-0.0002867321	-0.0004926345	0.0041060000	0.0041453757	0	22032018	42229
0.1000255050	0.0000000000	0.0000000000	0.0004724823	-0.0002134724	0.0041560000	0.0041882151	0	22032018	33946
0.1000603330	0.0000000000	0.0000000000	-0.0000670186	0.0004491865	0.0041480000	0.0041727885	0	22032018	35812
0.1000682530	0.0000000000	0.0000000000	-0.0000632458	-0.0005026539	0.0041570000	0.0041877572	0	22032018	42247
0.1000714190	0.0000000000	0.0000000000	0.0003561288	0.0003948332	0.0041260000	0.0041601198	0	22032018	35204
0.1000745850	0.0000000000	0.0000000000	0.0002493853	-0.0004899479	0.0041710000	0.0042070753	0	22032018	42856
0.1000761720	0.0000000000	0.0000000000	0.0004897422	-0.0002069844	0.0041080000	0.0041422644	0	22032018	43504
0.1000856700	0.0000000000	0.0000000000	-0.0002617567	0.0003632347	0.0041100000	0.0041343145	0	22032018	40421
0.1000856700	0.0000000000	0.0000000000	0.0004558476	0.0001276046	0.0041040000	0.0041312100	0	22032018	34556
0.1000888370	0.0000000000	0.0000000000	-0.0005190000	0.0000260000	0.0041110000	0.0041437131	0	22032018	41029
0.1000904160	0.0000000000	0.0000000000	-0.0003924878	-0.0003241147	0.0041530000	0.0041840777	0	22032018	41638
0.1000856700	0.0300000000	20.0000000000	-0.0003690000	-0.0001800000	0.0042400000	0.0042598311	1	22032018	34556
0.1000077510	0.0300000000	40.0000000000	-0.0004400000	-0.0002400000	0.0042720000	0.0043013003	1	22032018	35146
0.1000714190	0.0300000000	60.0000000000	-0.0004430000	-0.0002440000	0.0042180000	0.0042482124	1	22032018	35204
0.1000045850	0.0300000000	80.0000000000	-0.0004890000	-0.0002070000	0.0042400000	0.0042731218	1	22032018	35754
0.1000603330	0.0300000000	100.0000000000	-0.0004950000	-0.0001690000	0.0042080000	0.0042403832	1	22032018	35812
0.1000077510	0.0300000000	120.0000000000	-0.0005200000	-0.0001520000	0.0042830000	0.0043171279	1	22032018	40402
0.1000856700	0.0300000000	140.0000000000	-0.0004550000	-0.0001460000	0.0042370000	0.0042638609	1	22032018	40421
0.1000077510	0.0300000000	160.0000000000	-0.0004450000	-0.0001340000	0.0042380000	0.0042634053	1	22032018	41011
0.1000888370	0.0300000000	180.0000000000	-0.0004950000	-0.0001090000	0.0042540000	0.0042840894	1	22032018	41029
0.1000045850	0.0300000000	200.0000000000	-0.0004900000	-0.0000960000	0.0041460000	0.0041759588	1	22032018	41620
0.1000904160	0.0300000000	220.0000000000	-0.0004300000	-0.0000520000	0.0042510000	0.0042730089	1	22032018	41638
0.1000093380	0.0300000000	240.0000000000	-0.0003920000	-0.0001310000	0.0042460000	0.0042660686	1	22032018	42229
0.1000682530	0.0300000000	260.0000000000	-0.0003840000	-0.0000740000	0.0042580000	0.0042759205	1	22032018	42247
0.1000045850	0.0300000000	280.0000000000	-0.0004240000	-0.0001110000	0.0042530000	0.0042755241	1	22032018	42837
0.1000745850	0.0300000000	300.0000000000	-0.0003430000	-0.0001450000	0.0042170000	0.0042334103	1	22032018	42856
0.1000077510	0.0300000000	320.0000000000	-0.0003820000	-0.0001520000	0.0042680000	0.0042877561	1	22032018	43446
0.1000255050	0.0300000000	340.0000000000	-0.0003930000	-0.0001400000	0.0042280000	0.0042485330	1	22032018	33946
0.1000761720	0.0300000000	340.0000000000	-0.0003790000	-0.0002090000	0.0042810000	0.0043028227	1	22032018	43504
0.1000077510	0.0300000000	360.0000000000	-0.0004390000	-0.0001720000	0.0042040000	0.0042303571	1	22032018	34538
0.1000045850	0.0600000000	10.0000000000	-0.0005720000	-0.0002750000	0.0041970000	0.0042447165	2	22032018	42837
0.1000745850	0.0600000000	30.0000000000	-0.0005660000	-0.0002920000	0.0041830000	0.0042312066	2	22032018	42856
0.1000077510	0.0600000000	50.0000000000	-0.0006390000	-0.0002910000	0.0041350000	0.0041941897	2	22032018	43446
0.1000255050	0.0600000000	70.0000000000	-0.0005700000	-0.0003390000	0.0041430000	0.0041957443	2	22032018	33946
0.1000761720	0.0600000000	70.0000000000	-0.0007100000	-0.0003030000	0.0041760000	0.0042467499	2	22032018	43504
0.1000077510	0.0600000000	90.0000000000	-0.0006090000	-0.0002850000	0.0041580000	0.0042120150	2	22032018	34538
0.1000856700	0.0600000000	110.0000000000	-0.0006260000	-0.0002910000	0.0041380000	0.0041951878	2	22032018	34556
0.1000077510	0.0600000000	130.0000000000	-0.0006840000	-0.0002740000	0.0041120000	0.0041774964	2	22032018	35146
0.1000714190	0.0600000000	150.0000000000	-0.0006810000	-0.0002160000	0.0041280000	0.0041893676	2	22032018	35204
0.1000045850	0.0600000000	170.0000000000	-0.0007080000	-0.0002590000	0.0041770000	0.0042444875	2	22032018	35754
0.1000603330	0.0600000000	190.0000000000	-0.0006240000	-0.0002510000	0.0041800000	0.0042337663	2	22032018	35812
0.1000077510	0.0600000000	210.0000000000	-0.0006710000	-0.0001450000	0.0041390000	0.0041955437	2	22032018	40402
0.1000856700	0.0600000000	230.0000000000	-0.0006090000	-0.0001710000	0.0041670000	0.0042147374	2	22032018	40421
0.1000077510	0.0600000000	250.0000000000	-0.0005680000	-0.0002240000	0.0041950000	0.0042392010	2	22032018	41011
0.1000888370	0.0600000000	270.0000000000	-0.0005700000	-0.0003060000	0.0041920000	0.0042416270	2	22032018	41029
0.1000045850	0.0600000000	290.0000000000	-0.0005890000	-0.0002340000	0.0042290000	0.0042762271	2	22032018	41620
0.1000904160	0.0600000000	310.0000000000	-0.0005390000	-0.0002640000	0.0041840000	0.0042268278	2	22032018	41638
0.1000093380	0.0600000000	330.0000000000	-0.0005860000	-0.0002700000	0.0041840000	0.0042334563	2	22032018	42229
0.1000682530	0.0600000000	350.0000000000	-0.0006100000	-0.0002470000	0.0042080000	0.0042591517	2	22032018	42247
0.1000856700	0.0900000000	20.0000000000	-0.0007810000	-0.0000100000	0.0035480000	0.0036329554	3	22032018	34556
0.1000077510	0.0900000000	40.0000000000	-0.0008070000	-0.0000030000	0.0036100000	0.0036991023	3	22032018	35146
