#z (m)	r (m)	phi (deg) 	Br (T)	Bphi (T)	Bz (T)	B (T)	probeID	Date (DDMMYYY)	Time (24-HH:MM:SS)
0.0100130000	0.0000000000	0.0000000000	0.0004286484	-0.0002315719	0.0002460000	0.0005457848	0	21032018	63619
0.0100130000	0.0300000000	340.0000000000	-0.0001780000	-0.0001280000	0.0003810000	0.0004395782	1	21032018	63619
0.0100130000	0.0600000000	70.0000000000	-0.0002080000	-0.0002970000	0.0004980000	0.0006160170	2	21032018	63619
0.0100130000	0.0900000000	340.0000000000	-0.0000470000	-0.0000010000	-0.0000770000	0.0000902164	3	21032018	63619
0.0100130000	0.1200000000	250.0000000000	-0.0001910000	0.0001220000	0.0003180000	0.0003904984	4	21032018	63619
0.0100130000	0.1500000000	70.0000000000	-0.0001250000	-0.0000400000	0.0003270000	0.0003523549	5	21032018	63619
0.1100100020	0.0000000000	0.0000000000	0.0005034956	-0.0002130544	0.0004660000	0.0007183704	0	21032018	63620
0.1100100020	0.0300000000	340.0000000000	-0.0002160000	-0.0001620000	0.0005960000	0.0006543057	1	21032018	63620
0.1100100020	0.0600000000	70.0000000000	-0.0001030000	-0.0002370000	0.0006150000	0.0006670855	2	21032018	63620
0.1100100020	0.0900000000	340.0000000000	-0.0000670000	0.0000500000	0.0001020000	0.0001318825	3	21032018	63620
0.1100100020	0.1200000000	250.0000000000	-0.0002930000	0.0000590000	0.0004890000	0.0005731064	4	21032018	63620
0.1100100020	0.1500000000	70.0000000000	-0.0002590000	-0.0000050000	0.0004970000	0.0005604596	5	21032018	63620
0.2100149230	0.0000000000	0.0000000000	0.0004855516	-0.0002214218	0.0008930000	0.0010403062	0	21032018	63623
0.2100149230	0.0300000000	340.0000000000	-0.0001960000	-0.0001720000	0.0011170000	0.0011470349	1	21032018	63623
0.2100149230	0.0600000000	70.0000000000	-0.0002480000	-0.0002540000	0.0010030000	0.0010639685	2	21032018	63623
0.2100149230	0.0900000000	340.0000000000	-0.0001910000	0.0000070000	0.0005630000	0.0005945578	3	21032018	63623
0.2100149230	0.1200000000	250.0000000000	-0.0004330000	0.0001080000	0.0008320000	0.0009441276	4	21032018	63623
0.2100149230	0.1500000000	70.0000000000	-0.0004950000	0.0000060000	0.0007850000	0.0009280550	5	21032018	63623
0.3100419920	0.0000000000	0.0000000000	0.0005341462	-0.0002838042	0.0020850000	0.0021709634	0	21032018	63625
0.3100419920	0.0300000000	340.0000000000	-0.0003540000	-0.0001730000	0.0021600000	0.0021956423	1	21032018	63625
0.3100419920	0.0600000000	70.0000000000	-0.0005230000	-0.0003150000	0.0020530000	0.0021418597	2	21032018	63625
0.3100419920	0.0900000000	340.0000000000	-0.0005830000	-0.0000230000	0.0014610000	0.0015731939	3	21032018	63625
0.3100419920	0.1200000000	250.0000000000	-0.0008880000	0.0001230000	0.0016120000	0.0018445100	4	21032018	63625
0.3100419920	0.1500000000	70.0000000000	-0.0010300000	-0.0000480000	0.0013920000	0.0017323014	5	21032018	63625
0.4100231630	0.0000000000	0.0000000000	0.0005521696	-0.0002956851	0.0052030000	0.0052405658	0	21032018	63628
0.4100231630	0.0300000000	340.0000000000	-0.0007670000	-0.0002200000	0.0053110000	0.0053706061	1	21032018	63628
0.4100231630	0.0600000000	70.0000000000	-0.0015630000	-0.0004150000	0.0048880000	0.0051485666	2	21032018	63628
0.4100231630	0.0900000000	340.0000000000	-0.0018890000	-0.0000350000	0.0040170000	0.0044391255	3	21032018	63628
0.4100231630	0.1200000000	250.0000000000	-0.0025090000	0.0001930000	0.0034880000	0.0043009852	4	21032018	63628
